www.youtube.com
breadth
2
None
         22477727 function calls (22476141 primitive calls) in 49.900 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 chardistribution.py:218(__init__)
        3    0.000    0.000    0.000    0.000 chardistribution.py:224(get_order)
        7    0.000    0.000    0.000    0.000 chardistribution.py:46(__init__)
       21    0.000    0.000    0.000    0.000 chardistribution.py:61(reset)
  5157812    1.887    0.000    1.887    0.000 chardistribution.py:70(feed)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:33(__init__)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:39(reset)
        2    0.000    0.000    0.000    0.000 charsetgroupprober.py:49(charset_name)
        1    0.000    0.000    0.000    0.000 charsetgroupprober.py:57(language)
        2    0.000    0.000   46.935   23.468 charsetgroupprober.py:65(feed)
        3    0.000    0.000    0.000    0.000 charsetgroupprober.py:85(get_confidence)
        1    1.680    1.680    1.808    1.808 charsetprober.py:103(filter_with_english_letters)
       26    0.000    0.000    0.000    0.000 charsetprober.py:39(__init__)
       47    0.000    0.000    0.000    0.000 charsetprober.py:44(reset)
       52    0.000    0.000    0.000    0.000 charsetprober.py:54(state)
        2    0.000    0.000    0.000    0.000 charsetprober.py:58(get_confidence)
        1    0.000    0.000    0.231    0.231 charsetprober.py:61(filter_high_byte_only)
       13    0.003    0.000    3.293    0.253 charsetprober.py:66(filter_international_words)
        1    0.000    0.000    0.000    0.000 client.py:1017(_send_output)
        1    0.000    0.000    0.000    0.000 client.py:1071(putrequest)
        5    0.000    0.000    0.000    0.000 client.py:1195(putheader)
        1    0.000    0.000    0.000    0.000 client.py:1223(endheaders)
        1    0.000    0.000    0.000    0.000 client.py:1236(request)
        1    0.000    0.000    0.000    0.000 client.py:1241(_send_request)
        5    0.000    0.000    0.000    0.000 client.py:1243(<genexpr>)
        1    0.000    0.000    0.361    0.361 client.py:1287(getresponse)
        1    0.000    0.000    0.001    0.001 client.py:194(parse_headers)
        1    0.000    0.000    0.000    0.000 client.py:227(__init__)
        1    0.000    0.000    0.360    0.360 client.py:257(_read_status)
        1    0.000    0.000    0.361    0.361 client.py:290(begin)
        1    0.000    0.000    0.000    0.000 client.py:370(_check_close)
        1    0.000    0.000    0.000    0.000 client.py:400(_close_conn)
        2    0.000    0.000    0.000    0.000 client.py:405(close)
        1    0.000    0.000    0.000    0.000 client.py:417(flush)
        2    0.000    0.000    0.000    0.000 client.py:428(isclosed)
     1584    0.004    0.000    0.140    0.000 client.py:596(_safe_read)
        1    0.000    0.000    0.000    0.000 client.py:804(_get_content_length)
        1    0.000    0.000    0.000    0.000 client.py:836(__init__)
        1    0.000    0.000    0.000    0.000 client.py:879(_get_hostport)
        1    0.000    0.000    0.000    0.000 client.py:942(close)
        1    0.000    0.000    0.000    0.000 client.py:956(send)
        6    0.000    0.000    0.000    0.000 client.py:995(_output)
        8    0.000    0.000    0.000    0.000 codingstatemachine.py:55(__init__)
       24    0.000    0.000    0.000    0.000 codingstatemachine.py:63(reset)
  5893158   12.760    0.000   12.760    0.000 codingstatemachine.py:66(next_state)
  5893091    1.161    0.000    1.161    0.000 codingstatemachine.py:80(get_current_charlen)
        1    0.000    0.000    0.000    0.000 connection.py:106(__init__)
        1    0.000    0.000    0.098    0.098 connection.py:127(_new_conn)
        1    0.000    0.000    0.000    0.000 connection.py:213(__init__)
        1    0.000    0.000    0.000    0.000 connection.py:257(set_cert)
        1    0.000    0.000    0.221    0.221 connection.py:282(connect)
        1    0.000    0.000    0.000    0.000 connection.py:354(_match_hostname)
        1    0.000    0.000    0.098    0.098 connection.py:36(create_connection)
        1    0.000    0.000    0.000    0.000 connection.py:88(_set_socket_options)
        1    0.000    0.000    0.000    0.000 connection.py:96(allowed_gai_family)
        1    0.000    0.000    0.000    0.000 connectionpool.py:162(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:215(_get_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:253(_put_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:283(_validate_conn)
        2    0.000    0.000    0.000    0.000 connectionpool.py:293(_get_timeout)
        1    0.000    0.000    0.582    0.582 connectionpool.py:322(_make_request)
        1    0.001    0.001    0.002    0.002 connectionpool.py:410(close)
        1    0.000    0.000    0.583    0.583 connectionpool.py:447(urlopen)
        1    0.000    0.000    0.000    0.000 connectionpool.py:67(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:758(__init__)
        1    0.000    0.000    0.000    0.000 connectionpool.py:783(_prepare_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:818(_new_conn)
        1    0.000    0.000    0.221    0.221 connectionpool.py:842(_validate_conn)
        1    0.000    0.000    0.000    0.000 connectionpool.py:889(_ipv6_host)
        2    0.000    0.000    0.000    0.000 contextlib.py:157(helper)
        2    0.000    0.000    0.000    0.000 contextlib.py:59(__init__)
        2    0.000    0.000    0.000    0.000 contextlib.py:79(__enter__)
        2    0.000    0.000    0.000    0.000 contextlib.py:85(__exit__)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1002(set_ok_domain)
        2    0.000    0.000    0.000    0.000 cookiejar.py:1061(set_ok_port)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1200(vals_sorted_by_key)
        6    0.000    0.000    0.000    0.000 cookiejar.py:1204(deepvalues)
